galaxy_name,distance_mpc,r_max_kpc,v_max_km_s,J,log10_J,k_best,mean_error
CamB,3.36,1.79,20.1,3.713e+62,62.57,1.000e-42,0.5781
D512-2,15.2,3.83,35.9,9.685e+63,63.99,1.000e-36,0.2868
D564-8,8.79,3.07,25.0,2.101e+63,63.32,1.000e-36,0.3715
D631-7,7.72,7.19,57.3,1.388e+65,65.14,1.000e-42,0.4243
DDO064,6.8,2.98,46.9,1.307e+64,64.12,1.000e-36,0.3014
DDO154,4.04,5.92,45.5,4.711e+64,64.67,1.000e-36,0.4400
DDO161,7.5,13.37,66.1,7.367e+65,65.87,1.000e-40,0.2858
DDO168,4.25,4.12,52.0,3.406e+64,64.53,1.000e-38,0.3277
DDO170,15.4,12.33,62.2,5.220e+65,65.72,1.000e-36,0.3989
ESO079-G014,28.7,16.67,178.0,2.236e+67,67.35,1.000e-40,0.1791
ESO116-G012,13.0,9.86,112.0,1.949e+66,66.29,1.000e-38,0.2787
ESO444-G084,4.83,4.44,62.7,6.934e+64,64.84,1.000e-36,0.4175
ESO563-G021,60.8,42.41,312.0,7.795e+68,68.89,1.000e-42,0.3149
F561-1,66.4,9.66,50.4,1.705e+65,65.23,1.000e-42,0.0994
F563-1,48.9,20.1,106.0,6.866e+66,66.84,1.000e-38,0.5498
F563-V1,54.0,7.87,27.3,1.798e+64,64.25,1.000e-42,0.0570
F563-V2,59.7,10.47,118.0,2.570e+66,66.41,1.000e-38,0.5132
F565-V2,51.8,8.8,83.1,6.341e+65,65.80,1.000e-38,0.5278
F567-2,79.0,9.59,52.2,1.867e+65,65.27,1.000e-38,0.2049
F568-1,90.7,13.23,142.0,7.151e+66,66.85,1.000e-40,0.5049
F568-3,82.4,17.98,120.0,7.971e+66,66.90,1.000e-42,0.3453
F568-V1,80.6,17.63,118.0,7.287e+66,66.86,1.000e-38,0.5226
F571-8,53.3,15.55,144.0,1.030e+67,67.01,1.000e-42,0.6131
F571-V1,80.1,13.59,83.9,1.556e+66,66.19,1.000e-38,0.3998
F574-1,96.8,12.6,99.7,2.245e+66,66.35,1.000e-40,0.3928
F574-2,89.1,10.83,40.0,1.071e+65,65.03,1.000e-42,0.3270
F579-V1,89.5,15.16,114.0,4.859e+66,66.69,1.000e-38,0.3389
F583-1,35.4,16.26,85.8,2.383e+66,66.38,1.000e-40,0.4969
F583-4,53.3,7.29,69.9,2.590e+65,65.41,1.000e-38,0.3147
IC2574,3.91,10.23,67.5,4.593e+65,65.66,1.000e-38,0.3311
IC4202,100.4,25.9,247.0,1.442e+68,68.16,1.000e-42,0.2156
KK98-251,6.8,3.13,34.2,5.592e+63,63.75,1.000e-38,0.2863
NGC0024,7.3,11.27,110.0,2.412e+66,66.38,1.000e-38,0.3069
NGC0055,2.11,13.5,86.5,1.683e+66,66.23,1.000e-40,0.2457
NGC0100,13.5,9.62,91.2,1.002e+66,66.00,1.000e-42,0.2916
NGC0247,3.7,14.54,107.0,3.696e+66,66.57,1.000e-38,0.3258
NGC0289,20.8,71.12,165.0,3.242e+68,68.51,1.000e-42,0.2984
NGC0300,2.08,11.8,93.5,1.624e+66,66.21,1.000e-38,0.3765
NGC0801,80.7,59.82,216.0,5.146e+68,68.71,1.000e-42,0.1780
NGC0891,9.91,17.11,208.0,3.759e+67,67.58,1.000e-42,0.2360
NGC1003,11.4,30.24,115.0,1.985e+67,67.30,1.000e-38,0.4059
NGC1090,37.0,30.09,160.0,5.292e+67,67.72,1.000e-42,0.2041
NGC1705,5.73,6.0,71.5,1.878e+65,65.27,1.000e-36,0.2948
NGC2366,3.27,6.06,49.4,6.317e+64,64.80,1.000e-40,0.3064
NGC2403,3.16,20.87,134.0,1.495e+67,67.17,1.000e-42,0.2107
NGC2683,9.81,34.62,151.0,5.888e+67,67.77,1.000e-38,0.1648
NGC2841,14.1,63.64,294.0,1.469e+69,69.17,1.000e-38,0.2405
NGC2903,6.6,24.96,180.0,5.185e+67,67.71,1.000e-42,0.3989
NGC2915,4.06,10.04,86.5,9.309e+65,65.97,1.000e-38,0.6529
NGC2955,97.9,35.43,227.0,2.095e+68,68.32,1.000e-42,0.1437
NGC2976,3.58,2.27,85.3,4.564e+64,64.66,1.000e-42,0.1156
NGC2998,68.1,42.28,203.0,2.134e+68,68.33,1.000e-40,0.1698
NGC3109,1.33,6.45,67.3,1.810e+65,65.26,1.000e-38,0.5256
NGC3198,13.8,44.08,149.0,9.172e+67,67.96,1.000e-42,0.2543
NGC3521,7.7,17.74,206.0,3.926e+67,67.59,1.000e-42,0.2458
NGC3726,18.0,32.52,167.0,7.028e+67,67.85,1.000e-42,0.2061
NGC3741,3.21,7.0,51.6,9.606e+64,64.98,1.000e-36,0.4805
NGC3769,18.0,37.16,113.0,2.843e+67,67.45,1.000e-42,0.3059
NGC3877,18.0,11.35,169.0,8.873e+66,66.95,1.000e-42,0.2628
NGC3893,18.0,19.05,167.0,2.412e+67,67.38,1.000e-42,0.1736
NGC3917,18.0,14.86,137.0,8.102e+66,66.91,1.000e-42,0.2141
NGC3949,18.0,7.07,169.0,3.443e+66,66.54,1.000e-42,0.1913
NGC3953,18.0,15.68,215.0,3.487e+67,67.54,1.000e-42,0.0819
NGC3972,18.0,8.72,134.0,2.611e+66,66.42,1.000e-42,0.1828
NGC3992,23.7,46.02,237.0,4.023e+68,68.60,1.000e-38,0.1388
NGC4010,18.0,10.47,122.0,2.840e+66,66.45,1.000e-38,0.1524
NGC4013,18.0,31.01,170.0,6.741e+67,67.83,1.000e-38,0.1815
NGC4051,18.0,12.19,153.0,7.594e+66,66.88,1.000e-42,0.1965
NGC4068,4.37,2.33,41.9,5.698e+63,63.76,1.000e-42,0.2317
NGC4085,18.0,6.2,136.0,1.380e+66,66.14,1.000e-42,0.3885
NGC4088,18.0,21.48,174.0,3.468e+67,67.54,1.000e-42,0.2845
NGC4100,18.0,22.76,159.0,2.971e+67,67.47,1.000e-38,0.1415
NGC4138,18.0,18.58,150.0,1.663e+67,67.22,1.000e-38,0.1674
NGC4157,18.0,29.61,185.0,7.921e+67,67.90,1.000e-42,0.2069
NGC4183,18.0,21.02,113.0,9.097e+66,66.96,1.000e-38,0.2769
NGC4214,2.87,5.63,80.6,2.368e+65,65.37,1.000e-36,0.2494
NGC4217,18.0,16.72,178.0,2.250e+67,67.35,1.000e-42,0.3933
NGC4389,18.0,5.32,110.0,5.375e+65,65.73,1.000e-42,0.9894
NGC4559,9.0,20.97,119.0,1.057e+67,67.02,1.000e-42,0.1871
NGC5005,16.9,11.47,265.0,3.494e+67,67.54,1.000e-42,0.2146
NGC5033,15.7,44.59,196.0,2.136e+68,68.33,1.000e-42,0.2705
NGC5055,9.9,54.59,172.0,2.164e+68,68.34,1.000e-42,0.2876
NGC5371,39.7,46.24,213.0,2.948e+68,68.47,1.000e-42,0.1389
NGC5585,7.06,10.96,89.4,1.225e+66,66.09,1.000e-42,0.2603
NGC5907,17.3,50.33,214.0,3.542e+68,68.55,1.000e-38,0.1375
NGC5985,39.7,34.72,285.0,3.982e+68,68.60,1.000e-38,0.1946
NGC6015,17.0,29.23,152.0,4.281e+67,67.63,1.000e-42,0.2254
NGC6195,127.8,36.43,246.0,2.819e+68,68.45,1.000e-42,0.1713
NGC6503,6.26,23.5,115.0,1.198e+67,67.08,1.000e-38,0.3205
NGC6674,51.2,72.41,242.0,1.060e+69,69.03,1.000e-38,0.2504
NGC6789,3.52,0.71,60.4,1.585e+63,63.20,1.000e-36,0.4450
NGC6946,5.52,20.4,154.0,2.169e+67,67.34,1.000e-42,0.1488
NGC7331,14.7,36.31,238.0,2.536e+68,68.40,1.000e-42,0.2301
NGC7793,3.61,7.87,90.8,6.616e+65,65.82,1.000e-42,0.1679
NGC7814,14.4,19.53,214.0,5.334e+67,67.73,1.000e-38,0.2120
PGC51017,13.6,3.63,18.3,1.152e+63,63.06,1.000e-42,0.2033
UGC00128,64.5,53.75,125.0,8.052e+67,67.91,1.000e-40,0.5086
UGC00191,17.1,9.98,83.85,8.379e+65,65.92,1.000e-38,0.3086
UGC00634,30.9,18.01,107.5,5.750e+66,66.76,1.000e-38,0.4468
UGC00731,12.5,10.91,73.9,6.855e+65,65.84,1.000e-36,0.4431
UGC00891,10.2,7.39,63.75,2.019e+65,65.31,1.000e-38,0.4083
UGC01230,53.7,36.54,103.0,2.082e+67,67.32,1.000e-42,0.4073
UGC01281,5.27,4.99,56.9,6.546e+64,64.82,1.000e-42,0.5286
UGC02023,10.4,3.78,58.8,4.145e+64,64.62,1.000e-42,0.1549
UGC02259,10.5,8.14,90.0,6.893e+65,65.84,1.000e-36,0.2450
UGC02455,6.92,4.03,61.0,5.260e+64,64.72,1.000e-42,1.0791
UGC02487,69.1,80.38,333.0,3.404e+69,69.53,1.000e-38,0.2123
UGC02885,80.6,74.07,298.0,2.072e+69,69.32,1.000e-40,0.2048
UGC02916,65.4,38.0,181.0,1.222e+68,68.09,1.000e-42,0.1563
UGC02953,16.5,62.39,272.0,1.118e+69,69.05,1.000e-42,0.2034
UGC03205,50.0,40.04,220.0,2.436e+68,68.39,1.000e-40,0.1216
UGC03546,28.7,29.23,193.0,8.765e+67,67.94,1.000e-42,0.2792
UGC03580,20.7,27.06,124.0,1.992e+67,67.30,1.000e-42,0.4113
UGC04278,9.51,6.69,92.8,5.104e+65,65.71,1.000e-38,0.3628
UGC04305,3.45,5.52,33.0,1.563e+64,64.19,1.000e-42,0.1894
UGC04325,9.6,5.59,91.5,3.416e+65,65.53,1.000e-36,0.2622
UGC04483,3.34,1.21,24.2,2.961e+62,62.47,1.000e-36,0.2889
UGC04499,12.5,8.18,74.3,3.916e+65,65.59,1.000e-38,0.3087
UGC05005,53.7,28.61,99.1,1.137e+67,67.06,1.000e-42,0.3234
UGC05253,22.9,53.29,218.0,4.198e+68,68.62,1.000e-42,0.1706
UGC05414,9.4,4.11,61.4,5.579e+64,64.75,1.000e-38,0.2026
UGC05716,21.3,12.37,74.7,9.101e+65,65.96,1.000e-36,0.4249
UGC05721,6.18,6.74,79.5,3.257e+65,65.51,1.000e-36,0.4067
UGC05750,58.7,22.85,78.9,3.659e+66,66.56,1.000e-42,0.3285
UGC05764,7.47,3.62,49.9,2.323e+64,64.37,1.000e-36,0.4260
UGC05829,8.64,6.91,68.6,2.200e+65,65.34,1.000e-38,0.4239
UGC05918,7.66,4.46,44.5,2.501e+64,64.40,1.000e-36,0.3420
UGC05986,8.63,9.41,107.0,1.548e+66,66.19,1.000e-38,0.3332
UGC05999,47.7,16.22,100.0,3.754e+66,66.57,1.000e-38,0.3563
UGC06399,18.0,7.85,87.6,5.911e+65,65.77,1.000e-38,0.3473
UGC06446,12.0,10.22,80.1,7.660e+65,65.88,1.000e-36,0.3962
UGC06614,88.7,64.59,204.0,5.054e+68,68.70,1.000e-42,0.2224
UGC06628,15.1,7.69,42.3,6.387e+64,64.81,1.000e-42,0.1609
UGC06667,18.0,7.85,85.7,5.535e+65,65.74,1.000e-36,0.5403
UGC06786,29.3,34.05,211.0,1.554e+68,68.19,1.000e-40,0.1767
UGC06787,21.3,37.19,255.0,3.272e+68,68.51,1.000e-42,0.2186
UGC06818,18.0,6.98,74.4,2.863e+65,65.46,1.000e-42,0.2963
UGC06917,18.0,10.47,111.0,2.139e+66,66.33,1.000e-38,0.2763
UGC06923,18.0,5.16,81.1,2.027e+65,65.31,1.000e-42,0.2040
UGC06930,18.0,16.61,108.0,4.959e+66,66.70,1.000e-38,0.2808
UGC06973,18.0,7.85,180.0,5.128e+66,66.71,1.000e-42,0.3815
UGC06983,18.0,15.68,109.0,4.543e+66,66.66,1.000e-38,0.3789
UGC07089,18.0,9.16,79.1,5.926e+65,65.77,1.000e-38,0.1684
UGC07125,19.8,18.68,64.9,1.361e+66,66.13,1.000e-38,0.2228
UGC07151,6.87,5.5,76.2,1.910e+65,65.28,1.000e-38,0.2083
UGC07232,2.83,0.82,44.0,8.173e+62,62.91,1.000e-36,0.1477
UGC07261,13.1,6.67,76.1,2.798e+65,65.45,1.000e-36,0.1989
UGC07323,8.0,5.82,85.6,3.032e+65,65.48,1.000e-38,0.1079
UGC07399,8.43,6.13,106.0,6.386e+65,65.81,1.000e-36,0.3318
UGC07524,4.74,10.69,79.0,8.040e+65,65.91,1.000e-38,0.3783
UGC07559,4.97,2.53,32.1,3.021e+63,63.48,1.000e-42,0.1979
UGC07577,2.59,1.69,17.8,2.298e+62,62.36,1.000e-42,0.1497
UGC07603,4.7,4.11,64.0,6.319e+64,64.80,1.000e-36,0.3638
UGC07608,8.21,4.78,69.3,1.085e+65,65.04,1.000e-36,0.5312
UGC07690,8.11,4.13,55.9,4.251e+64,64.63,1.000e-36,0.1673
UGC07866,4.57,2.32,33.1,2.785e+63,63.44,1.000e-36,0.2183
UGC08286,6.5,8.04,84.3,5.526e+65,65.74,1.000e-36,0.4310
UGC08490,4.65,10.15,77.6,6.869e+65,65.84,1.000e-36,0.3056
UGC08550,6.7,5.36,57.5,7.794e+64,64.89,1.000e-36,0.3091
UGC08699,39.3,25.7,183.0,5.776e+67,67.76,1.000e-42,0.1733
UGC08837,7.21,4.2,48.0,2.784e+64,64.44,1.000e-42,0.2213
UGC09037,83.6,27.96,152.0,3.918e+67,67.59,1.000e-42,0.2329
UGC09133,57.1,108.31,229.0,2.010e+69,69.30,1.000e-42,0.2175
UGC09992,10.7,3.89,34.3,8.713e+63,63.94,1.000e-36,0.1296
UGC10310,15.2,7.74,73.2,3.353e+65,65.53,1.000e-36,0.2831
UGC11455,78.6,41.93,266.0,4.722e+68,68.67,1.000e-42,0.2108
UGC11557,24.2,10.56,84.5,9.601e+65,65.98,1.000e-42,0.8001
UGC11820,18.1,15.82,84.45,2.151e+66,66.33,1.000e-38,0.3357
UGC11914,16.9,9.83,305.0,3.912e+67,67.59,1.000e-42,0.0682
UGC12506,100.6,49.99,225.0,4.062e+68,68.61,1.000e-38,0.2812
UGC12632,9.77,10.66,73.1,6.334e+65,65.80,1.000e-38,0.4361
UGC12732,13.2,15.4,98.0,3.185e+66,66.50,1.000e-38,0.4405
UGCA281,5.68,1.08,29.5,4.273e+62,62.63,1.000e-36,0.2656
UGCA442,4.35,6.33,56.5,1.031e+65,65.01,1.000e-38,0.5065
UGCA444,0.98,2.62,38.3,5.503e+63,63.74,1.000e-36,0.3594
